algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy-sex,1-accuracy-sex,sex-accuracy,0-accuracy-sex_over_1-accuracy-sex,sex-accuracyRatio,diff:1-accuracy-sexto0-accuracy-sex,sex-accuracyDiff,0-accuracy-race,1-accuracy-race,race-accuracy,0-accuracy-race_over_1-accuracy-race,race-accuracyRatio,diff:1-accuracy-raceto0-accuracy-race,race-accuracyDiff,0-accuracy-sex-race,1-accuracy-sex-race,sex-race-accuracy,0-accuracy-sex-race_over_1-1-accuracy-sex-race,1-accuracy-sex-race_over_1-1-accuracy-sex-race,sex-race-accuracyRatio,diff:1-1-accuracy-sex-raceto0-accuracy-sex-race,diff:1-1-accuracy-sex-raceto1-accuracy-sex-race,sex-race-accuracyDiff,0-TPR-sex,1-TPR-sex,sex-TPR,0-TPR-sex_over_1-TPR-sex,sex-TPRRatio,diff:1-TPR-sexto0-TPR-sex,sex-TPRDiff,0-TPR-race,1-TPR-race,race-TPR,0-TPR-race_over_1-TPR-race,race-TPRRatio,diff:1-TPR-raceto0-TPR-race,race-TPRDiff,0-TPR-sex-race,1-TPR-sex-race,sex-race-TPR,0-TPR-sex-race_over_1-1-TPR-sex-race,1-TPR-sex-race_over_1-1-TPR-sex-race,sex-race-TPRRatio,diff:1-1-TPR-sex-raceto0-TPR-sex-race,diff:1-1-TPR-sex-raceto1-TPR-sex-race,sex-race-TPRDiff,0-TNR-sex,1-TNR-sex,sex-TNR,0-TNR-sex_over_1-TNR-sex,sex-TNRRatio,diff:1-TNR-sexto0-TNR-sex,sex-TNRDiff,0-TNR-race,1-TNR-race,race-TNR,0-TNR-race_over_1-TNR-race,race-TNRRatio,diff:1-TNR-raceto0-TNR-race,race-TNRDiff,0-TNR-sex-race,1-TNR-sex-race,sex-race-TNR,0-TNR-sex-race_over_1-1-TNR-sex-race,1-TNR-sex-race_over_1-1-TNR-sex-race,sex-race-TNRRatio,diff:1-1-TNR-sex-raceto0-TNR-sex-race,diff:1-1-TNR-sex-raceto1-TNR-sex-race,sex-race-TNRDiff,0-FPR-sex,1-FPR-sex,sex-FPR,0-FPR-sex_over_1-FPR-sex,sex-FPRRatio,diff:1-FPR-sexto0-FPR-sex,sex-FPRDiff,0-FPR-race,1-FPR-race,race-FPR,0-FPR-race_over_1-FPR-race,race-FPRRatio,diff:1-FPR-raceto0-FPR-race,race-FPRDiff,0-FPR-sex-race,1-FPR-sex-race,sex-race-FPR,0-FPR-sex-race_over_1-1-FPR-sex-race,1-FPR-sex-race_over_1-1-FPR-sex-race,sex-race-FPRRatio,diff:1-1-FPR-sex-raceto0-FPR-sex-race,diff:1-1-FPR-sex-raceto1-FPR-sex-race,sex-race-FPRDiff,0-FNR-sex,1-FNR-sex,sex-FNR,0-FNR-sex_over_1-FNR-sex,sex-FNRRatio,diff:1-FNR-sexto0-FNR-sex,sex-FNRDiff,0-FNR-race,1-FNR-race,race-FNR,0-FNR-race_over_1-FNR-race,race-FNRRatio,diff:1-FNR-raceto0-FNR-race,race-FNRDiff,0-FNR-sex-race,1-FNR-sex-race,sex-race-FNR,0-FNR-sex-race_over_1-1-FNR-sex-race,1-FNR-sex-race_over_1-1-FNR-sex-race,sex-race-FNRRatio,diff:1-1-FNR-sex-raceto0-FNR-sex-race,diff:1-1-FNR-sex-raceto1-FNR-sex-race,sex-race-FNRDiff,0-PR-sex,1-PR-sex,sex-PR,0-PR-sex_over_1-PR-sex,sex-PRRatio,diff:1-PR-sexto0-PR-sex,sex-PRDiff,0-PR-race,1-PR-race,race-PR,0-PR-race_over_1-PR-race,race-PRRatio,diff:1-PR-raceto0-PR-race,race-PRDiff,0-PR-sex-race,1-PR-sex-race,sex-race-PR,0-PR-sex-race_over_1-1-PR-sex-race,1-PR-sex-race_over_1-1-PR-sex-race,sex-race-PRRatio,diff:1-1-PR-sex-raceto0-PR-sex-race,diff:1-1-PR-sex-raceto1-PR-sex-race,sex-race-PRDiff,0-calibration+-sex,1-calibration+-sex,sex-calibration+,0-calibration+-sex_over_1-calibration+-sex,sex-calibration+Ratio,diff:1-calibration+-sexto0-calibration+-sex,sex-calibration+Diff,0-calibration+-race,1-calibration+-race,race-calibration+,0-calibration+-race_over_1-calibration+-race,race-calibration+Ratio,diff:1-calibration+-raceto0-calibration+-race,race-calibration+Diff,0-calibration+-sex-race,1-calibration+-sex-race,sex-race-calibration+,0-calibration+-sex-race_over_1-1-calibration+-sex-race,1-calibration+-sex-race_over_1-1-calibration+-sex-race,sex-race-calibration+Ratio,diff:1-1-calibration+-sex-raceto0-calibration+-sex-race,diff:1-1-calibration+-sex-raceto1-calibration+-sex-race,sex-race-calibration+Diff,0-calibration--sex,1-calibration--sex,sex-calibration-,0-calibration--sex_over_1-calibration--sex,sex-calibration-Ratio,diff:1-calibration--sexto0-calibration--sex,sex-calibration-Diff,0-calibration--race,1-calibration--race,race-calibration-,0-calibration--race_over_1-calibration--race,race-calibration-Ratio,diff:1-calibration--raceto0-calibration--race,race-calibration-Diff,0-calibration--sex-race,1-calibration--sex-race,sex-race-calibration-,0-calibration--sex-race_over_1-1-calibration--sex-race,1-calibration--sex-race_over_1-1-calibration--sex-race,sex-race-calibration-Ratio,diff:1-1-calibration--sex-raceto0-calibration--sex-race,diff:1-1-calibration--sex-raceto1-calibration--sex-race,sex-race-calibration-Diff
FairGPopp*TPR0.6,s_as_input=True,0,0.56198347,0.04695838,0.99285714,0.51990776,0.12632007,26.3080324,26.3080324,1.03615433,0.65053763,0.54243323,0.59648543,1.19929531,1.19929531,1.1081044,1.1081044,0.53721444,0.61,0.57360722,0.88067942,0.88067942,0.92721444,0.92721444,0.54743083,0.60296846,0.57519965,None,None,1,None,None,1,0.01515152,0.05217391,0.03366271,0.29040404,0.29040404,0.9629776,0.9629776,0.06485671,0.00364964,0.03425317,17.7707391,17.7707391,1.06120708,1.06120708,0.05955679,0.00465116,0.03210397,None,None,1,None,None,1,1,0.99090909,0.99545455,1.00917431,1.00917431,1.00909091,1.00909091,0.98847262,1,0.99423631,0.98847262,0.98847262,0.98847262,0.98847262,0.98994975,1,0.99497487,None,None,1,None,None,1,0,0.00909091,0.00454545,0,1,0.99090909,0.99090909,0.01152738,0,0.00576369,0,1,1.01152738,1.01152738,0.01005025,0,0.00502513,None,None,1,None,None,1,0.98484848,0.94782609,0.96633729,1.03906033,1.03906033,1.0370224,1.0370224,0.93514329,0.99635036,0.96574683,0.93856872,0.93856872,0.93879292,0.93879292,0.94044321,0.99534884,0.96789603,None,None,1,None,None,1,0.00537634,0.02967359,0.01752497,0.1811828,0.1811828,0.97570275,0.97570275,0.0375829,0.00142857,0.01950574,26.3080324,26.3080324,1.03615433,1.03615433,0.03359684,0.00185529,0.01772606,None,None,1,None,None,1,1,0.84,0.92,1.19047619,1.19047619,1.16,1.16,0.84313725,1,0.92156863,0.84313725,0.84313725,0.84313725,0.84313725,0.84313725,1,0.92156863,None,None,1,None,None,1,0.35135135,0.46666667,0.40900901,0.75289575,0.75289575,0.88468468,0.88468468,0.47473201,0.39055794,0.43264497,1.21552261,1.21552261,1.08417407,1.08417407,0.46284935,0.39776952,0.43030943,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,1,0.56490034,0.05229456,0.99375,0.52302228,0.14090926,13.9277819,13.9277819,1.03693652,0.65736041,0.54299459,0.6001775,1.21062055,1.21062055,1.11436582,1.11436582,0.54089904,0.61142857,0.57616381,0.88464797,0.88464797,0.92947047,0.92947047,0.55188367,0.60110294,0.57649331,None,None,1,None,None,1,0.02898551,0.0563204,0.04265295,0.51465378,0.51465378,0.97266511,0.97266511,0.07088989,0.00729927,0.03909458,9.71191554,9.71191554,1.06359062,1.06359062,0.06545961,0.00913242,0.03729602,None,None,1,None,None,1,0.99609375,0.99305556,0.99457465,1.00305944,1.00305944,1.00303819,1.00303819,0.98991354,1,0.99495677,0.98991354,0.98991354,0.98991354,0.98991354,0.99119497,1,0.99559748,None,None,1,None,None,1,0.00390625,0.00694444,0.00542535,0.5625,0.5625,0.99696181,0.99696181,0.01008646,0,0.00504323,0,1,1.01008646,1.01008646,0.00880503,0,0.00440252,None,None,1,None,None,1,0.97101449,0.9436796,0.95734705,1.02896629,1.02896629,1.02733489,1.02733489,0.92911011,0.99270073,0.96090542,0.9359418,0.9359418,0.93640938,0.93640938,0.93454039,0.99086758,0.96270398,None,None,1,None,None,1,0.01269036,0.03066747,0.02167891,0.41380512,0.41380512,0.98202289,0.98202289,0.03979366,0.00285714,0.0213254,13.9277819,13.9277819,1.03693652,1.03693652,0.03569068,0.00367647,0.01968358,None,None,1,None,None,1,0.8,0.88235294,0.84117647,0.90666667,0.90666667,0.91764706,0.91764706,0.87037037,1,0.93518519,0.87037037,0.87037037,0.87037037,0.87037037,0.87037037,1,0.93518519,None,None,1,None,None,1,0.34447301,0.46774194,0.40610747,0.73645953,0.73645953,0.87673107,0.87673107,0.47275518,0.38968481,0.43122,1.21317322,1.21317322,1.08307037,1.08307037,0.45990404,0.400369,0.43013652,None,None,1,None,None,1
FairGPopp*TPR0.6,s_as_input=True,2,0.55858046,0.03948773,0.99285714,0.51617243,0.11011943,0,1,1.03316139,0.63733333,0.54102259,0.58917796,1.17801612,1.17801612,1.09631074,1.09631074,0.53279293,0.60857143,0.57068218,0.87548133,0.87548133,0.9242215,0.9242215,0.54503311,0.59597806,0.57050559,None,None,1,None,None,1,0.02857143,0.04140527,0.03498835,0.69004329,0.69004329,0.98716616,0.98716616,0.05580694,0,0.02790347,0,1,1.05580694,1.05580694,0.05167598,0,0.02583799,None,None,1,None,None,1,1,0.99096045,0.99548023,1.00912201,1.00912201,1.00903955,1.00903955,0.98847262,1,0.99423631,0.98847262,0.98847262,0.98847262,0.98847262,0.98992443,1,0.99496222,None,None,1,None,None,1,0,0.00903955,0.00451977,0,1,0.99096045,0.99096045,0.01152738,0,0.00576369,0,1,1.01152738,1.01152738,0.01007557,0,0.00503778,None,None,1,None,None,1,0.97142857,0.95859473,0.96501165,1.01338818,1.01338818,1.01283384,1.01283384,0.94419306,1,0.97209653,0.94419306,0.94419306,0.94419306,0.94419306,0.94832402,1,0.97416201,None,None,1,None,None,1,0.01066667,0.02437574,0.0175212,0.4375935,0.4375935,0.98629092,0.98629092,0.03316139,0,0.01658069,0,1,1.03316139,1.03316139,0.02980132,0,0.01490066,None,None,1,None,None,1,1,0.80487805,0.90243902,1.24242424,1.24242424,1.19512195,1.19512195,0.82222222,1,0.91111111,0.82222222,0.82222222,0.82222222,0.82222222,0.82222222,1,0.91111111,None,None,1,None,None,1,0.36657682,0.46556977,0.4160733,0.78737246,0.78737246,0.90100704,0.90100704,0.47713415,0.39142857,0.43428136,1.21895585,1.21895585,1.08570557,1.08570557,0.46348123,0.40402194,0.43375158,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,0,0.55858046,0.05016009,0.98392857,0.51704433,0.09704817,2.06337509,2.06337509,1.01974839,0.64516129,0.53946588,0.59231358,1.19592604,1.19592604,1.10569541,1.10569541,0.53500368,0.60428571,0.5696447,0.88534889,0.88534889,0.93071797,0.93071797,0.54479578,0.5974026,0.57109919,None,None,1,None,None,1,0.03030303,0.05341615,0.04185959,0.56730092,0.56730092,0.97688688,0.97688688,0.06334842,0.01824818,0.0407983,3.47149321,3.47149321,1.04510024,1.04510024,0.06094183,0.01395349,0.03744766,None,None,1,None,None,1,0.98333333,0.98409091,0.98371212,0.99923018,0.99923018,0.99924242,0.99924242,0.98559078,0.98122066,0.98340572,1.00445376,1.00445376,1.00437012,1.00437012,0.98366834,0.9845679,0.98411812,None,None,1,None,None,1,0.01666667,0.01590909,0.01628788,1.04761905,1.04761905,1.00075758,1.00075758,0.01440922,0.01877934,0.01659428,0.76729107,0.76729107,0.99562988,0.99562988,0.01633166,0.0154321,0.01588188,None,None,1,None,None,1,0.96969697,0.94658385,0.95814041,1.0244174,1.0244174,1.02311312,1.02311312,0.93665158,0.98175182,0.9592017,0.95406146,0.95406146,0.95489976,0.95489976,0.93905817,0.98604651,0.96255234,None,None,1,None,None,1,0.02150538,0.03382789,0.02766663,0.63572911,0.63572911,0.98767748,0.98767748,0.03831982,0.01857143,0.02844563,2.06337509,2.06337509,1.01974839,1.01974839,0.03754941,0.0148423,0.02619585,None,None,1,None,None,1,0.5,0.75438596,0.62719298,0.6627907,0.6627907,0.74561404,0.74561404,0.80769231,0.38461538,0.59615385,2.1,2.1,1.42307692,1.42307692,0.77192982,0.375,0.57346491,None,None,1,None,None,1,0.35164835,0.46805897,0.40985366,0.7512907,0.7512907,0.88358938,0.88358938,0.47586207,0.3915575,0.43370978,1.21530573,1.21530573,1.08430457,1.08430457,0.46406571,0.3992467,0.43165621,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,1,0.56198347,0.04589114,0.99375,0.51982057,0.12819358,2.34995497,2.34995497,1.01735656,0.65482234,0.53998797,0.59740515,1.21266096,1.21266096,1.11483436,1.11483436,0.53721444,0.61,0.57360722,0.88067942,0.88067942,0.92721444,0.92721444,0.54791804,0.60110294,0.57451049,None,None,1,None,None,1,0.02173913,0.05006258,0.03590085,0.43423913,0.43423913,0.97167655,0.97167655,0.05731523,0.01824818,0.0377817,3.14087481,3.14087481,1.03906706,1.03906706,0.05292479,0.02283105,0.03787792,None,None,1,None,None,1,0.99609375,0.99305556,0.99457465,1.00305944,1.00305944,1.00303819,1.00303819,0.99567723,0.99061033,0.99314378,1.00511493,1.00511493,1.0050669,1.0050669,0.99496855,0.99076923,0.99286889,None,None,1,None,None,1,0.00390625,0.00694444,0.00542535,0.5625,0.5625,0.99696181,0.99696181,0.00432277,0.00938967,0.00685622,0.46037464,0.46037464,0.9949331,0.9949331,0.00503145,0.00923077,0.00713111,None,None,1,None,None,1,0.97826087,0.94993742,0.96409915,1.02981612,1.02981612,1.02832345,1.02832345,0.94268477,0.98175182,0.9622183,0.96020679,0.96020679,0.96093294,0.96093294,0.94707521,0.97716895,0.96212208,None,None,1,None,None,1,0.01015228,0.02766085,0.01890657,0.36702715,0.36702715,0.98249143,0.98249143,0.03021371,0.01285714,0.02153542,2.34995497,2.34995497,1.01735656,1.01735656,0.02775942,0.01470588,0.02123265,None,None,1,None,None,1,0.75,0.86956522,0.80978261,0.8625,0.8625,0.88043478,0.88043478,0.92682927,0.55555556,0.74119241,1.66829268,1.66829268,1.37127371,1.37127371,0.9047619,0.625,0.76488095,None,None,1,None,None,1,0.34615385,0.46938776,0.4077708,0.73745819,0.73745819,0.87676609,0.87676609,0.47492401,0.38929088,0.43210745,1.21997209,1.21997209,1.08563313,1.08563313,0.46227056,0.39925373,0.43076215,None,None,1,None,None,1
FairGPoppTPR0.6,s_as_input=False,2,0.56003889,0.03948773,0.99553571,0.51751172,0.12333191,3.09506264,3.09506264,1.01795768,0.64533333,0.54102259,0.59317796,1.19280293,1.19280293,1.10431074,1.10431074,0.53352985,0.61142857,0.57247921,0.87259554,0.87259554,0.92210127,0.92210127,0.54768212,0.59414991,0.57091601,None,None,1,None,None,1,0.05,0.03764115,0.04382058,1.32833333,1.32833333,1.01235885,1.01235885,0.04977376,0.01459854,0.03218615,3.40950226,3.40950226,1.03517522,1.03517522,0.05027933,0.00452489,0.02740211,None,None,1,None,None,1,1,0.99435028,0.99717514,1.00568182,1.00568182,1.00564972,1.00564972,0.99567723,0.99530516,0.9954912,1.00037382,1.00037382,1.00037207,1.00037207,0.99622166,0.99386503,0.99504335,None,None,1,None,None,1,0,0.00564972,0.00282486,0,1,0.99435028,0.99435028,0.00432277,0.00469484,0.0045088,0.92074928,0.92074928,0.99962793,0.99962793,0.00377834,0.00613497,0.00495665,None,None,1,None,None,1,0.95,0.96235885,0.95617942,0.98715776,0.98715776,0.98764115,0.98764115,0.95022624,0.98540146,0.96781385,0.96430367,0.96430367,0.96482478,0.96482478,0.94972067,0.99547511,0.97259789,None,None,1,None,None,1,0.01866667,0.02080856,0.01973761,0.89706667,0.89706667,0.99785811,0.99785811,0.02652911,0.00857143,0.01755027,3.09506264,3.09506264,1.01795768,1.01795768,0.02582781,0.00548446,0.01565614,None,None,1,None,None,1,1,0.85714286,0.92857143,1.16666667,1.16666667,1.14285714,1.14285714,0.91666667,0.66666667,0.79166667,1.375,1.375,1.25,1.25,0.92307692,0.33333333,0.62820513,None,None,1,None,None,1,0.36141304,0.4656952,0.41355412,0.77607208,0.77607208,0.89571784,0.89571784,0.47691143,0.38904899,0.43298021,1.22583901,1.22583901,1.08786244,1.08786244,0.46227056,0.40441176,0.43334116,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,0,0.610111813,0.201707577,0.951785714,0.576746646,0.236835297,3.662490789,3.662490789,1.114106748,0.672043011,0.596439169,0.63424109,1.12675868,1.12675868,1.075603842,1.075603842,0.599115696,0.631428571,0.615272134,0.948825764,0.948825764,0.967687125,0.967687125,0.605401845,0.623376623,0.614389234,None,None,1,None,None,1,0.121212121,0.214906832,0.168059477,0.56402172,0.56402172,0.906305289,0.906305289,0.250377074,0.083941606,0.16715934,2.982752967,2.982752967,1.166435468,1.166435468,0.238227147,0.079069767,0.158648457,None,None,1,None,None,1,0.975,0.945454545,0.960227273,1.03125,1.03125,1.029545455,1.029545455,0.932276657,0.983568075,0.957922366,0.947851685,0.947851685,0.948708582,0.948708582,0.938442211,0.984567901,0.961505056,None,None,1,None,None,1,0.025,0.054545455,0.039772727,0.458333333,0.458333333,0.970454545,0.970454545,0.067723343,0.016431925,0.042077634,4.121449156,4.121449156,1.051291418,1.051291418,0.061557789,0.015432099,0.038494944,None,None,1,None,None,1,0.878787879,0.785093168,0.831940523,1.119342156,1.119342156,1.093694711,1.093694711,0.749622926,0.916058394,0.83284066,0.818313473,0.818313473,0.833564532,0.833564532,0.761772853,0.920930233,0.841351543,None,None,1,None,None,1,0.059139785,0.13115727,0.095148527,0.45090741,0.45090741,0.927982515,0.927982515,0.156963891,0.042857143,0.099910517,3.662490789,3.662490789,1.114106748,1.114106748,0.145586298,0.040816327,0.093201312,None,None,1,None,None,1,0.727272727,0.78280543,0.755039079,0.92905938,0.92905938,0.944467297,0.944467297,0.779342723,0.766666667,0.773004695,1.016533987,1.016533987,1.012676056,1.012676056,0.778280543,0.772727273,0.775503908,None,None,1,None,None,1,0.331428571,0.431693989,0.38156128,0.767739602,0.767739602,0.899734582,0.899734582,0.434440559,0.374626866,0.404533713,1.159662051,1.159662051,1.059813694,1.059813694,0.424055513,0.382978723,0.403517118,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,1,0.607681089,0.209178228,0.941071429,0.575124828,0.224444736,4.144537901,4.144537901,1.130273713,0.657360406,0.595911004,0.626635705,1.103118421,1.103118421,1.061449402,1.061449402,0.600589536,0.621428571,0.611009054,0.96646592,0.96646592,0.979160964,0.979160964,0.606741573,0.610294118,0.608517845,None,None,1,None,None,1,0.130434783,0.222778473,0.176606628,0.585490962,0.585490962,0.90765631,0.90765631,0.266968326,0.069343066,0.168155696,3.849964277,3.849964277,1.19762526,1.19762526,0.252089136,0.068493151,0.160291144,None,None,1,None,None,1,0.94140625,0.940972222,0.941189236,1.000461255,1.000461255,1.000434028,1.000434028,0.919308357,0.976525822,0.947917089,0.941407116,0.941407116,0.942782536,0.942782536,0.927044025,0.975384615,0.95121432,None,None,1,None,None,1,0.05859375,0.059027778,0.058810764,0.992647059,0.992647059,0.999565972,0.999565972,0.080691643,0.023474178,0.052082911,3.437463977,3.437463977,1.057217464,1.057217464,0.072955975,0.024615385,0.04878568,None,None,1,None,None,1,0.869565217,0.777221527,0.823393372,1.118812574,1.118812574,1.09234369,1.09234369,0.733031674,0.930656934,0.831844304,0.787649721,0.787649721,0.80237474,0.80237474,0.747910864,0.931506849,0.839708856,None,None,1,None,None,1,0.083756345,0.137702946,0.110729646,0.60823931,0.60823931,0.946053399,0.946053399,0.171702284,0.041428571,0.106565428,4.144537901,4.144537901,1.130273713,1.130273713,0.157964309,0.042279412,0.100121861,None,None,1,None,None,1,0.545454545,0.777292576,0.661373561,0.701736466,0.701736466,0.768161969,0.768161969,0.759656652,0.655172414,0.707414533,1.159475943,1.159475943,1.104484239,1.104484239,0.757322176,0.652173913,0.704748044,None,None,1,None,None,1,0.332409972,0.433054393,0.382732183,0.767594042,0.767594042,0.899355579,0.899355579,0.432384342,0.380029806,0.406207074,1.137764287,1.137764287,1.052354535,1.052354535,0.421507064,0.391554702,0.406530883,None,None,1,None,None,1
FairGPopp*TPR0.7,s_as_input=True,2,0.596013612,0.176093917,0.947321429,0.561707673,0.197307107,4.736383734,4.736383734,1.117429203,0.653333333,0.583234245,0.618283789,1.120190282,1.120190282,1.070099088,1.070099088,0.580692704,0.625714286,0.603203495,0.928047701,0.928047701,0.954978419,0.954978419,0.590728477,0.610603291,0.600665884,None,None,1,None,None,1,0.114285714,0.186951066,0.15061839,0.611313519,0.611313519,0.927334648,0.927334648,0.223227753,0.062043796,0.142635774,3.597906131,3.597906131,1.161183957,1.161183957,0.212290503,0.058823529,0.135557016,None,None,1,None,None,1,0.974468085,0.940112994,0.95729054,1.036543576,1.036543576,1.034355091,1.034355091,0.922190202,0.988262911,0.955226556,0.933142579,0.933142579,0.933927291,0.933927291,0.931989924,0.984662577,0.958326251,None,None,1,None,None,1,0.025531915,0.059887006,0.04270946,0.426334805,0.426334805,0.965644909,0.965644909,0.077809798,0.011737089,0.044773444,6.629394813,6.629394813,1.066072709,1.066072709,0.068010076,0.015337423,0.041673749,None,None,1,None,None,1,0.885714286,0.813048934,0.84938161,1.089373898,1.089373898,1.072665352,1.072665352,0.776772247,0.937956204,0.857364226,0.828154069,0.828154069,0.838816043,0.838816043,0.787709497,0.941176471,0.864442984,None,None,1,None,None,1,0.058666667,0.120095125,0.089380896,0.48850165,0.48850165,0.938571542,0.938571542,0.148857775,0.031428571,0.090143173,4.736383734,4.736383734,1.117429203,1.117429203,0.136423841,0.032906764,0.084665303,None,None,1,None,None,1,0.727272727,0.737623762,0.732448245,0.985967053,0.985967053,0.989648965,0.989648965,0.732673267,0.772727273,0.75270027,0.948165405,0.948165405,0.959945995,0.959945995,0.737864078,0.722222222,0.73004315,None,None,1,None,None,1,0.351274788,0.437837838,0.394556313,0.802294268,0.802294268,0.91343695,0.91343695,0.445887446,0.379056047,0.412471747,1.176310071,1.176310071,1.066831399,1.066831399,0.432515337,0.393194707,0.412855022,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,0,0.610111813,0.213447172,0.941964286,0.577705729,0.23103081,1.653975272,1.653975272,1.058857775,0.653225806,0.600593472,0.626909639,1.087633877,1.087633877,1.052632335,1.052632335,0.593957259,0.641428571,0.617692915,0.925991272,0.925991272,0.952528687,0.952528687,0.600131752,0.638218924,0.619175338,None,None,1,None,None,1,0.121212121,0.228571429,0.174891775,0.53030303,0.53030303,0.892640693,0.892640693,0.236802413,0.156934307,0.19686836,1.508927006,1.508927006,1.079868107,1.079868107,0.229916898,0.158139535,0.194028216,None,None,1,None,None,1,0.945833333,0.940909091,0.943371212,1.005233494,1.005233494,1.004924242,1.004924242,0.935158501,0.953051643,0.944105072,0.981225423,0.981225423,0.982106858,0.982106858,0.935929648,0.956790123,0.946359886,None,None,1,None,None,1,0.054166667,0.059090909,0.056628788,0.916666667,0.916666667,0.995075758,0.995075758,0.064841499,0.046948357,0.055894928,1.381123919,1.381123919,1.017893142,1.017893142,0.064070352,0.043209877,0.053640114,None,None,1,None,None,1,0.878787879,0.771428571,0.825108225,1.139169473,1.139169473,1.107359307,1.107359307,0.763197587,0.843065693,0.80313164,0.90526467,0.90526467,0.920131893,0.920131893,0.770083102,0.841860465,0.805971784,None,None,1,None,None,1,0.077956989,0.140059347,0.109008168,0.55659969,0.55659969,0.937897642,0.937897642,0.148857775,0.09,0.119428887,1.653975272,1.653975272,1.058857775,1.058857775,0.142951252,0.089053803,0.116002527,None,None,1,None,None,1,0.551724138,0.779661017,0.665692577,0.707646177,0.707646177,0.772063121,0.772063121,0.777227723,0.682539683,0.729883703,1.138728989,1.138728989,1.09468804,1.09468804,0.764976959,0.708333333,0.736655146,None,None,1,None,None,1,0.33819242,0.428571429,0.383381924,0.789115646,0.789115646,0.909620991,0.909620991,0.438095238,0.362637363,0.4003663,1.208080808,1.208080808,1.075457875,1.075457875,0.427363566,0.368635438,0.397999502,None,None,1,None,None,1
FairGPoppTPR0.7,s_as_input=False,1,0.593582888,0.173959445,0.944642857,0.559301151,0.189242176,2.121993703,2.121993703,1.070525318,0.662436548,0.577269994,0.619853271,1.147533312,1.147533312,1.085166554,1.085166554,0.579955785,0.62,0.599977892,0.935412556,0.935412556,0.959955785,0.959955785,0.588896233,0.606617647,0.59775694,None,None,1,None,None,1,0.130434783,0.181476846,0.155955814,0.71874063,0.71874063,0.948957937,0.948957937,0.206636501,0.094890511,0.150763506,2.177630816,2.177630816,1.11174599,1.11174599,0.199164345,0.091324201,0.145244273,None,None,1,None,None,1,0.94921875,0.943287037,0.946252894,1.006288344,1.006288344,1.005931713,1.005931713,0.936599424,0.957746479,0.947172951,0.977919986,0.977919986,0.978852945,0.978852945,0.940880503,0.953846154,0.947363328,None,None,1,None,None,1,0.05078125,0.056712963,0.053747106,0.895408163,0.895408163,0.994068287,0.994068287,0.063400576,0.042253521,0.052827049,1.500480307,1.500480307,1.021147055,1.021147055,0.059119497,0.046153846,0.052636672,None,None,1,None,None,1,0.869565217,0.818523154,0.844044186,1.062358729,1.062358729,1.051042063,1.051042063,0.793363499,0.905109489,0.849236494,0.876538705,0.876538705,0.88825401,0.88825401,0.800835655,0.908675799,0.854755727,None,None,1,None,None,1,0.078680203,0.116656645,0.097668424,0.674459679,0.674459679,0.962023558,0.962023558,0.133382461,0.062857143,0.098119802,2.121993703,2.121993703,1.070525318,1.070525318,0.125578321,0.064338235,0.094958278,None,None,1,None,None,1,0.580645161,0.74742268,0.664033921,0.776863181,0.776863181,0.833222481,0.833222481,0.756906077,0.590909091,0.673907584,1.280917977,1.280917977,1.165996986,1.165996986,0.752631579,0.571428571,0.662030075,None,None,1,None,None,1,0.330578512,0.445200817,0.387889665,0.742537974,0.742537974,0.885377696,0.885377696,0.447278912,0.37804878,0.412663846,1.183124863,1.183124863,1.069230131,1.069230131,0.434618292,0.390962672,0.412790482,None,None,1,None,None,1
